relation,n_gt,n_random,cutoff_density_intersection,cutoff_youdenJ,youdenJ_TPR,youdenJ_FPR,youdenJ_J,cutoff_roc_knee,roc_knee_TPR,roc_knee_FPR
phenotype_chemicalentity,1000,1000,-0.3067416954664554,-0.3301726775521754,0.971,0.005,0.966,-0.4517722046528516,0.975,0.011
phenotype_disease,1000,1000,-0.386938751186551,-0.4058920666060022,0.99,0.039,0.951,-0.37206818468986125,0.987,0.038
phenotype_gene,1000,1000,-0.26195050036927503,-0.2821673771686708,0.99,0.032,0.958,-0.24689717027627722,0.988,0.03
phenotype_molecularfunction,459,459,-0.6039405126787679,-0.6618249508079572,0.8779956427015251,0.41830065359477125,0.4596949891067538,-0.5186793109280381,0.7254901960784313,0.2766884531590414
phenotype_phenotype,1000,1000,-0.3857207557714124,-0.4101447370129163,0.832,0.199,0.633,-0.4101447370129163,0.832,0.199
phenotype_protein,1000,1000,-0.48473501207687214,-0.6880670612004529,0.994,0.039,0.955,-0.46916007265435766,0.982,0.034
plantspecies_chemicalentity,1000,1000,-0.12214114307798893,-0.06903124311248554,0.814,0.139,0.6749999999999999,-0.06903124311248554,0.814,0.139
plantspecies_disease,1000,1000,-0.13885990902486853,-0.1306828168640477,0.923,0.165,0.758,-0.0980170597844392,0.89,0.134
pmid_cellularcomponent,1000,1000,-0.6467645307949083,-0.6268417357125475,0.941,0.116,0.825,-0.5990022626054943,0.924,0.104
pmid_chemicalentity,1000,1000,-0.7867800162428255,-0.820381737833646,0.966,0.036,0.9299999999999999,-0.820381737833646,0.966,0.036
pmid_disease,1000,1000,-0.6991419483034512,-0.7022644263416078,0.983,0.094,0.889,-0.6534250814785909,0.961,0.08
pmid_protein,1000,1000,-0.5870478766636663,-0.6079064927171522,0.917,0.071,0.8460000000000001,-0.6079064927171522,0.917,0.071
pmid_tissue,1000,1000,-0.6099816392724088,-0.5953916170114848,0.928,0.26,0.668,-0.5018688092878718,0.838,0.19
protein_biologicalprocess,1000,1000,-0.42558581095089426,-0.4622286150283048,0.938,0.268,0.6699999999999999,-0.3851923205212926,0.899,0.243
protein_cellularcomponent,1000,1000,-0.14592060066862247,-0.1765347920526663,0.99,0.113,0.877,-0.07143954043019196,0.942,0.083
protein_chemicalentity,12,12,-0.33491521349597936,-0.5177504154783322,1.0,0.0,1.0,-0.5177504154783322,1.0,0.0
protein_disease,1000,1000,-0.13074356561273442,-0.1406925838976223,0.986,0.062,0.9239999999999999,-0.1056163660841456,0.968,0.049
protein_molecularfunction,1000,1000,-0.45405510111948544,-0.5242841002885203,0.938,0.323,0.615,-0.3883629814369747,0.856,0.242
protein_pathway,1000,1000,-0.12193816017598631,-0.3281021554200869,0.964,0.198,0.766,-0.2583759029269519,0.941,0.183
protein_phenotype,328,328,-0.25746881530732096,-0.453298916657638,1.0,0.17378048780487804,0.8262195121951219,-0.1672217788434489,0.9146341463414634,0.10975609756097561
protein_protein,1000,1000,-0.17587270293439025,-0.17798596748558104,0.969,0.05,0.9189999999999999,-0.17798596748558104,0.969,0.05
protein_tissue,1000,1000,-0.1785718886108441,-0.16751343296547105,0.992,0.135,0.857,-0.08412702218366164,0.963,0.106
